Entity,Year,Total number of emigrants
Bahamas,1995,2064
Bahamas,2000,2139
Bahamas,2005,1985
Bahamas,2010,1867
Bahamas,2015,1955
Bahamas,2020,2042
Bahamas,2024,2174
Bahrain,1990,11251
Bahrain,1995,21614
Bahrain,2000,32137
Bahrain,2005,36803
Bahrain,2010,42283
Bahrain,2015,45263
Bahrain,2020,45356
Bahrain,2024,57160
Bangladesh,1990,5076540
Bangladesh,1995,5266258
Bangladesh,2000,5287858
Bangladesh,2005,5198991
Bangladesh,2010,6221642
Bangladesh,2015,7883873
Bangladesh,2020,8085347
Bangladesh,2024,8706947
Barbados,1990,20659
Barbados,1995,20592
Barbados,2000,20249
Barbados,2005,20961
Barbados,2010,20844
Barbados,2015,20504
Barbados,2020,19564
Barbados,2024,19558
Belarus,1990,1768067
Belarus,1995,1680350
Belarus,2000,1599048
Belarus,2005,1462091
Belarus,2010,1310899
Belarus,2015,1079713
Belarus,2020,919469
Belarus,2024,790232
Belgium,1990,312709
Belgium,1995,305533
Belgium,2000,313188
Belgium,2005,374297
Belgium,2010,405732
Belgium,2015,438560
Belgium,2020,482561
Belgium,2024,521884
Belize,1990,3528
Belize,1995,3627
Belize,2000,3849
Belize,2005,4380
Belize,2010,5247
Belize,2015,5970
Belize,2020,6694
Belize,2024,7383
Benin,1990,226170
Benin,1995,265968
Benin,2000,321244
Benin,2005,496572
Benin,2010,533981
Benin,2015,628871
Benin,2020,678375
Benin,2024,726530
Bermuda,1990,433
Bermuda,1995,473
Bermuda,2000,537
Bermuda,2005,638
Bermuda,2010,748
Bermuda,2015,871
Bermuda,2020,1051
Bermuda,2024,1100
Bhutan,1990,27169
Bhutan,1995,117210
Bhutan,2000,119788
Bhutan,2005,117140
Bhutan,2010,88335
Bhutan,2015,47807
Bhutan,2020,52339
Bhutan,2024,66145
Bolivia,1990,199843
Bolivia,1995,236253
Bolivia,2000,281557
Bolivia,2005,456266
Bolivia,2010,648912
Bolivia,2015,646591
Bolivia,2020,744014
Bolivia,2024,783473
Bonaire Sint Eustatius and Saba,1990,2852
Bonaire Sint Eustatius and Saba,1995,2947
Bonaire Sint Eustatius and Saba,2000,3052
Bonaire Sint Eustatius and Saba,2005,3016
Bonaire Sint Eustatius and Saba,2010,2883
Bonaire Sint Eustatius and Saba,2015,3100
Bonaire Sint Eustatius and Saba,2020,3524
Bonaire Sint Eustatius and Saba,2024,4744
Bosnia and Herzegovina,1990,1108999
Bosnia and Herzegovina,1995,1705561
Bosnia and Herzegovina,2000,1624537
Bosnia and Herzegovina,2005,1494812
Bosnia and Herzegovina,2010,1481062
Bosnia and Herzegovina,2015,1477261
Bosnia and Herzegovina,2020,1542552
Bosnia and Herzegovina,2024,1608324
Botswana,1990,23982
Botswana,1995,17487
Botswana,2000,22155
Botswana,2005,22158
Botswana,2010,19869
Botswana,2015,18161
Botswana,2020,17397
Botswana,2024,16731
Brazil,1990,446721
Brazil,1995,626103
Brazil,2000,902341
Brazil,2005,1215342
Brazil,2010,1365997
Brazil,2015,1402267
Brazil,2020,1854912
Brazil,2024,2194325
British Virgin Islands,1990,3832
British Virgin Islands,1995,3930
British Virgin Islands,2000,4053
British Virgin Islands,2005,3678
British Virgin Islands,2010,4534
British Virgin Islands,2015,4874
British Virgin Islands,2020,5543
British Virgin Islands,2024,6185
Brunei,1990,31408
Brunei,1995,44425
Brunei,2000,45229
Brunei,2005,45524
Brunei,2010,45555
Brunei,2015,45924
Brunei,2020,46349
Brunei,2024,46552
Bulgaria,1990,597707
Bulgaria,1995,661065
Bulgaria,2000,707846
Bulgaria,2005,808373
Bulgaria,2010,926056
Bulgaria,2015,1030383
Bulgaria,2020,1178732
Bulgaria,2024,1252234
Burkina Faso,1990,1015890
Burkina Faso,1995,1152082
Burkina Faso,2000,1297567
Burkina Faso,2005,1443306
Burkina Faso,2010,1601296
Burkina Faso,2015,1759971
Burkina Faso,2020,1919400
Burkina Faso,2024,2050050
Burundi,1990,342568
Burundi,1995,549487
Burundi,2000,802113
Burundi,2005,651030
Burundi,2010,290788
Burundi,2015,444013
Burundi,2020,552134
Burundi,2024,576530
Cambodia,1990,261096
Cambodia,1995,282803
Cambodia,2000,316497
Cambodia,2005,455076
Cambodia,2010,613439
Cambodia,2015,674059
Cambodia,2020,726096
Cambodia,2024,778793
Cameroon,1990,92391
Cameroon,1995,108473
Cameroon,2000,131985
Cameroon,2005,167265
Cameroon,2010,214405
Cameroon,2015,275824
Cameroon,2020,357087
Cameroon,2024,409677
Canada,1990,1114493
Canada,1995,1273577
Canada,2000,1248046
Canada,2005,1255998
Canada,2010,1255259
Canada,2015,1307957
Canada,2020,1310121
Canada,2024,1347381
Cape Verde,1990,51800
Cape Verde,1995,63673
Cape Verde,2000,76121
Cape Verde,2005,92475
Cape Verde,2010,99281
Cape Verde,2015,116450
Cape Verde,2020,133491
Cape Verde,2024,146396
Cayman Islands,1990,125
Cayman Islands,1995,130
Cayman Islands,2000,146
Cayman Islands,2005,179
Cayman Islands,2010,248
Cayman Islands,2015,381
Cayman Islands,2020,549
Cayman Islands,2024,609
Central African Republic,1990,37143
Central African Republic,1995,39510
Central African Republic,2000,44980
Central African Republic,2005,115287
Central African Republic,2010,228473
Central African Republic,2015,666056
Central African Republic,2020,794362
Central African Republic,2024,905808
Central America (UN),1990,6641926
Central America (UN),1995,9481989
Central America (UN),2000,11826660
Central America (UN),2005,14379127
Central America (UN),2010,15814764
Central America (UN),2015,16402048
Central America (UN),2020,16455194
Central America (UN),2024,17447447
Central Asia (UN),1990,6080895
Central Asia (UN),1995,6395294
Central Asia (UN),2000,6674793
Central Asia (UN),2005,7167297
Central Asia (UN),2010,7438419
Central Asia (UN),2015,6905656
Central Asia (UN),2020,6609180
Central Asia (UN),2024,6331890
Central and Southern Asia (UN),1990,30342957
Central and Southern Asia (UN),1995,27930630
Central and Southern Asia (UN),2000,30008559
Central and Southern Asia (UN),2005,32445580
Central and Southern Asia (UN),2010,39400759
Central and Southern Asia (UN),2015,46011893
Central and Southern Asia (UN),2020,48594959
Central and Southern Asia (UN),2024,53948417
Chad,1990,329970
Chad,1995,217609
Chad,2000,202762
Chad,2005,201982
Chad,2010,191459
Chad,2015,179293
Chad,2020,208110
Chad,2024,292298
Channel Islands,1990,285
Channel Islands,1995,279
Channel Islands,2000,312
Channel Islands,2005,306
Channel Islands,2010,381
Channel Islands,2015,297
Channel Islands,2020,320
Channel Islands,2024,351
Chile,1990,390979
Chile,1995,391356
Chile,2000,393879
Chile,2005,419855
Chile,2010,435797
Chile,2015,419035
Chile,2020,423400
Chile,2024,444451
China,1990,3990935
China,1995,4676354
China,2000,5668480
China,2005,6892920
China,2010,8773150
China,2015,10357962
China,2020,11169868
China,2024,11701619
Colombia,1990,1000769
Colombia,1995,1181011
Colombia,2000,1469973
Colombia,2005,1823207
Colombia,2010,2558298
Colombia,2015,2720321
Colombia,2020,3165293
Colombia,2024,3652238
Comoros,1990,32522
Comoros,1995,48072
Comoros,2000,73404
Comoros,2005,97008
Comoros,2010,111510
Comoros,2015,188715
Comoros,2020,260848
Comoros,2024,367574
Congo,1990,64367
Congo,1995,88142
Congo,2000,118262
Congo,2005,160242
Congo,2010,169150
Congo,2015,201319
Congo,2020,220301
Congo,2024,231080
Cook Islands,1990,17630
Cook Islands,1995,16916
Cook Islands,2000,19708
Cook Islands,2005,20294
Cook Islands,2010,20294
Cook Islands,2015,20558
Cook Islands,2020,20134
Cook Islands,2024,20288
Costa Rica,1990,22922
Costa Rica,1995,22763
Costa Rica,2000,26493
Costa Rica,2005,30258
Costa Rica,2010,34241
Costa Rica,2015,39023
Costa Rica,2020,43504
Costa Rica,2024,50982
Cote d'Ivoire,1990,353717
Cote d'Ivoire,1995,433736
Cote d'Ivoire,2000,525165
Cote d'Ivoire,2005,698103
Cote d'Ivoire,2010,902169
Cote d'Ivoire,2015,1025536
Cote d'Ivoire,2020,1129849
Cote d'Ivoire,2024,1211422
Croatia,1990,840829
Croatia,1995,1056934
Croatia,2000,1196319
Croatia,2005,990980
Croatia,2010,847561
Croatia,2015,802347
Croatia,2020,825039
Croatia,2024,826166
Cuba,1990,839585
Cuba,1995,917722
Cuba,2000,1032762
Cuba,2005,1093555
Cuba,2010,1337631
Cuba,2015,1519397
Cuba,2020,1721822
Cuba,2024,1879613
Curacao,1990,3029
Curacao,1995,3779
Curacao,2000,4701
Curacao,2005,4329
Curacao,2010,5354
Curacao,2015,5861
Curacao,2020,7666
Curacao,2024,10103
Cyprus,1990,87065
Cyprus,1995,74433
Cyprus,2000,63149
Cyprus,2005,65886
Cyprus,2010,68736
Cyprus,2015,70451
Cyprus,2020,75728
Cyprus,2024,80760
Czechia,1990,532885
Czechia,1995,585124
Czechia,2000,615436
Czechia,2005,650527
Czechia,2010,660378
Czechia,2015,624517
Czechia,2020,584341
Czechia,2024,583214
Democratic Republic of Congo,1990,393133
Democratic Republic of Congo,1995,505090
Democratic Republic of Congo,2000,794799
Democratic Republic of Congo,2005,1097069
Democratic Republic of Congo,2010,1242847
Democratic Republic of Congo,2015,1512153
Democratic Republic of Congo,2020,1916852
Democratic Republic of Congo,2024,2097387
Denmark,1990,124563
Denmark,1995,117007
Denmark,2000,113952
Denmark,2005,120534
Denmark,2010,124567
Denmark,2015,123297
Denmark,2020,120852
Denmark,2024,124665
Djibouti,1990,1963
Djibouti,1995,20005
Djibouti,2000,3751
Djibouti,2005,2421
Djibouti,2010,2577
Djibouti,2015,2537
Djibouti,2020,2866
Djibouti,2024,3576
Dominica,1990,18686
Dominica,1995,20457
Dominica,2000,22406
Dominica,2005,21077
Dominica,2010,20788
Dominica,2015,21079
Dominica,2020,20838
Dominica,2024,21384
Dominican Republic,1990,462285
Dominican Republic,1995,657381
Dominican Republic,2000,845469
Dominican Republic,2005,962450
Dominican Republic,2010,1212240
Dominican Republic,2015,1454378
Dominican Republic,2020,1691232
Dominican Republic,2024,1917153
East Timor,1990,27505
East Timor,1995,35137
East Timor,2000,188495
East Timor,2005,43229
East Timor,2010,45740
East Timor,2015,64935
East Timor,2020,96759
East Timor,2024,109613
Eastern Africa (UN),1990,7092040
Eastern Africa (UN),1995,7113173
Eastern Africa (UN),2000,5613465
Eastern Africa (UN),2005,5591977
Eastern Africa (UN),2010,6697584
Eastern Africa (UN),2015,9034394
Eastern Africa (UN),2020,11321072
Eastern Africa (UN),2024,13218873
Eastern Asia (UN),1990,7580664
Eastern Asia (UN),1995,8705066
Eastern Asia (UN),2000,10033956
Eastern Asia (UN),2005,11485152
Eastern Asia (UN),2010,13738877
Eastern Asia (UN),2015,15593781
Eastern Asia (UN),2020,16436131
Eastern Asia (UN),2024,17184244
Eastern Europe (UN),1990,25443190
Eastern Europe (UN),1995,23709242
Eastern Europe (UN),2000,22290370
Eastern Europe (UN),2005,23114441
Eastern Europe (UN),2010,24770817
Eastern Europe (UN),2015,25213204
Eastern Europe (UN),2020,26055890
Eastern Europe (UN),2024,32478382
Eastern and South-Eastern Asia (UN),1990,14465509
Eastern and South-Eastern Asia (UN),1995,17262816
Eastern and South-Eastern Asia (UN),2000,20822011
Eastern and South-Eastern Asia (UN),2005,24315849
Eastern and South-Eastern Asia (UN),2010,30053666
Eastern and South-Eastern Asia (UN),2015,34562856
Eastern and South-Eastern Asia (UN),2020,38223520
Eastern and South-Eastern Asia (UN),2024,41409235
Ecuador,1990,209258
Ecuador,1995,316260
Ecuador,2000,510456
Ecuador,2005,935700
Ecuador,2010,1122949
Ecuador,2015,1066457
Ecuador,2020,1118570
Ecuador,2024,1243065
Egypt,1990,1630728
Egypt,1995,1750423
Egypt,2000,1921183
Egypt,2005,2371080
Egypt,2010,3213308
Egypt,2015,4193177
Egypt,2020,4454277
Egypt,2024,4820002
El Salvador,1990,955569
El Salvador,1995,1005420
El Salvador,2000,906731
El Salvador,2005,1108043
El Salvador,2010,1359464
El Salvador,2015,1541873
El Salvador,2020,1679667
El Salvador,2024,1834670
Equatorial Guinea,1990,27829
Equatorial Guinea,1995,40029
Equatorial Guinea,2000,57049
Equatorial Guinea,2005,71228
Equatorial Guinea,2010,83286
Equatorial Guinea,2015,116053
Equatorial Guinea,2020,127021
Equatorial Guinea,2024,136825
Eritrea,1990,156294
Eritrea,1995,370422
Eritrea,2000,505394
Eritrea,2005,267114
Eritrea,2010,283312
Eritrea,2015,478597
Eritrea,2020,663275
Eritrea,2024,912792
Estonia,1990,106726
Estonia,1995,108115
Estonia,2000,111603
Estonia,2005,115845
Estonia,2010,116903
Estonia,2015,128194
Estonia,2020,123628
Estonia,2024,124216
Eswatini,1990,31331
Eswatini,1995,28204
Eswatini,2000,29821
Eswatini,2005,33323
Eswatini,2010,37292
Eswatini,2015,28381
Eswatini,2020,19033
Eswatini,2024,11561
Ethiopia,1990,1630810
Ethiopia,1995,727374
Ethiopia,2000,418923
Ethiopia,2005,493987
Ethiopia,2010,666181
Ethiopia,2015,896584
Ethiopia,2020,1075343
Ethiopia,2024,1240645
Europe,1990,48903415
Europe,1995,49085200
Europe,2000,47099214
Europe,2005,47925446
Europe,2010,50550986
Europe,2015,51828564
Europe,2020,53566246
Europe,2024,61061575
Europe and Northern America (UN),1990,51666993
Europe and Northern America (UN),1995,52157238
Europe and Northern America (UN),2000,50315576
Europe and Northern America (UN),2005,51450712
Europe and Northern America (UN),2010,54529079
Europe and Northern America (UN),2015,56052727
Europe and Northern America (UN),2020,57902217
Europe and Northern America (UN),2024,65535293
European Union (27),1990,21994839
European Union (27),1995,23459785
European Union (27),2000,22779295
European Union (27),2005,23593202
European Union (27),2010,26016924
European Union (27),2015,27800302
European Union (27),2020,29247224
European Union (27),2024,30573537
Falkland Islands,1990,1082
Falkland Islands,1995,1839
Falkland Islands,2000,1525
Falkland Islands,2005,1100
Falkland Islands,2010,414
Falkland Islands,2015,193
Falkland Islands,2020,106
Falkland Islands,2024,93
Faroe Islands,1990,7941
Faroe Islands,1995,12021
Faroe Islands,2000,11640
Faroe Islands,2005,11018
Faroe Islands,2010,12146
Faroe Islands,2015,13041
Faroe Islands,2020,12048
Faroe Islands,2024,12282
Fiji,1990,65039
Fiji,1995,78323
Fiji,2000,95570
Fiji,2005,117629
Fiji,2010,138607
Fiji,2015,158026
Fiji,2020,169411
Fiji,2024,181025
Finland,1990,266717
Finland,1995,255507
Finland,2000,247766
Finland,2005,236417
Finland,2010,221943
Finland,2015,209216
Finland,2020,195782
Finland,2024,181834
France,1990,1413608
France,1995,1629553
France,2000,1721390
France,2005,1855042
France,2010,2042164
France,2015,2249670
France,2020,2400208
France,2024,2547158
French Guiana,1990,3047
French Guiana,1995,3257
French Guiana,2000,3554
French Guiana,2005,3694
French Guiana,2010,3815
French Guiana,2015,4106
French Guiana,2020,4128
French Guiana,2024,4490
French Polynesia,1990,3056
French Polynesia,1995,3544
French Polynesia,2000,4080
French Polynesia,2005,2549
French Polynesia,2010,1312
French Polynesia,2015,1674
French Polynesia,2020,1915
French Polynesia,2024,2008
Gabon,1990,14265
Gabon,1995,16602
Gabon,2000,19695
Gabon,2005,39376
Gabon,2010,36042
Gabon,2015,43401
Gabon,2020,54053
Gabon,2024,61160
Gambia,1990,14218
Gambia,1995,16789
Gambia,2000,19940
Gambia,2005,27073
Gambia,2010,34151
Gambia,2015,38925
Gambia,2020,61390
Gambia,2024,72452
Georgia,1990,1057640
Georgia,1995,1031233
Georgia,2000,979681
Georgia,2005,879847
Georgia,2010,780487
Georgia,2015,637894
Georgia,2020,545396
Georgia,2024,496486
Germany,1990,3870620
Germany,1995,4825017
Germany,2000,4107120
Germany,2005,4078804
Germany,2010,4260810
Germany,2015,4207460
Germany,2020,4204441
Germany,2024,4297233
Ghana,1990,344686
Ghana,1995,361700
Ghana,2000,445447
Ghana,2005,606700
Ghana,2010,718300
Ghana,2015,846131
Ghana,2020,963019
Ghana,2024,1055494
Gibraltar,1990,477
Gibraltar,1995,486
Gibraltar,2000,502
Gibraltar,2005,510
Gibraltar,2010,511
Gibraltar,2015,517
Gibraltar,2020,494
Gibraltar,2024,474
Greece,1990,878261
Greece,1995,854601
Greece,2000,857066
Greece,2005,768388
Greece,2010,703538
Greece,2015,759916
Greece,2020,775995
Greece,2024,780112
Greenland,1990,10313
Greenland,1995,11442
Greenland,2000,12905
Greenland,2005,13706
Greenland,2010,15437
Greenland,2015,16944
Greenland,2020,17726
Greenland,2024,18491
Grenada,1990,23961
Grenada,1995,23988
Grenada,2000,22073
Grenada,2005,23589
Grenada,2010,21140
Grenada,2015,21750
Grenada,2020,22210
Grenada,2024,26300
Guadeloupe,1990,7510
Guadeloupe,1995,8368
Guadeloupe,2000,9237
Guadeloupe,2005,8488
Guadeloupe,2010,10282
Guadeloupe,2015,11416
Guadeloupe,2020,11909
Guadeloupe,2024,12374
Guam,1990,1539
Guam,1995,1810
Guam,2000,2054
Guam,2005,1751
Guam,2010,1228
Guam,2015,1134
Guam,2020,1155
Guam,2024,1179
Guatemala,1990,323376
Guatemala,1995,429957
Guatemala,2000,545695
Guatemala,2005,737245
Guatemala,2010,919782
Guatemala,2015,1067787
Guatemala,2020,1282668
Guatemala,2024,1460232
Guinea,1990,334951
Guinea,1995,339388
Guinea,2000,339435
Guinea,2005,345573
Guinea,2010,382773
Guinea,2015,416953
Guinea,2020,473409
Guinea,2024,508203
Guinea-Bissau,1990,45577
Guinea-Bissau,1995,57547
Guinea-Bissau,2000,66613
Guinea-Bissau,2005,73544
Guinea-Bissau,2010,78973
Guinea-Bissau,2015,86283
Guinea-Bissau,2020,98064
Guinea-Bissau,2024,103999
Guyana,1990,217690
Guyana,1995,244138
Guyana,2000,341369
Guyana,2005,386766
Guyana,2010,404368
Guyana,2015,429943
Guyana,2020,429266
Guyana,2024,469649
Haiti,1990,521381
Haiti,1995,686087
Haiti,2000,821140
Haiti,2005,958254
Haiti,2010,1157011
Haiti,2015,1467970
Haiti,2020,1764699
Haiti,2024,2017692
High-income countries,1990,48531640
High-income countries,1995,49061459
High-income countries,2000,48010039
High-income countries,2005,49893585
High-income countries,2010,53858532
High-income countries,2015,56532264
High-income countries,2020,58796920
High-income countries,2024,61245038
Honduras,1990,157813
Honduras,1995,235452
Honduras,2000,316051
Honduras,2005,456501
Honduras,2010,604765
Honduras,2015,751534
Honduras,2020,1060598
Honduras,2024,1397584
Hong Kong,1990,569282
Hong Kong,1995,682700
Hong Kong,2000,818107
Hong Kong,2005,849440
Hong Kong,2010,903793
Hong Kong,2015,1031087
Hong Kong,2020,1146271
Hong Kong,2024,1240250
Hungary,1990,355019
Hungary,1995,363574
Hungary,2000,359746
Hungary,2005,357651
Hungary,2010,378410
Hungary,2015,469269
Hungary,2020,508918
Hungary,2024,538794
Iceland,1990,6586
Iceland,1995,8745
Iceland,2000,11709
Iceland,2005,13497
Iceland,2010,16404
Iceland,2015,19596
Iceland,2020,20887
Iceland,2024,23326
India,1990,6575416
India,1995,6900228
India,2000,7778792
India,2005,9500673
India,2010,12350515
India,2015,15277263
India,2020,16532761
India,2024,18533845
Indonesia,1990,1309876
Indonesia,1995,1664243
Indonesia,2000,2128328
Indonesia,2005,2406449
Indonesia,2010,3031600
Indonesia,2015,3269321
Indonesia,2020,3446736
Indonesia,2024,3745148
Iran,1990,604892
Iran,1995,701961
Iran,2000,835113
Iran,2005,875530
Iran,2010,1028854
Iran,2015,1163612
Iran,2020,1442650
Iran,2024,1733468
Iraq,1990,598492
Iraq,1995,647345
Iraq,2000,825369
Iraq,2005,1202149
Iraq,2010,2697913
Iraq,2015,1652951
Iraq,2020,2282773
Iraq,2024,2313028
Ireland,1990,927001
Ireland,1995,905239
Ireland,2000,809826
Ireland,2005,764001
Ireland,2010,765462
Ireland,2015,762324
Ireland,2020,729636
Ireland,2024,714405
Isle of Man,1990,699
Isle of Man,1995,724
Isle of Man,2000,720
Isle of Man,2005,769
Isle of Man,2010,889
Isle of Man,2015,838
Isle of Man,2020,920
Isle of Man,2024,908
Israel,1990,263368
Israel,1995,321435
Israel,2000,290092
Israel,2005,297140
Israel,2010,300419
Israel,2015,301155
Israel,2020,312533
Israel,2024,324804
Italy,1990,3354372
Italy,1995,3154012
Italy,2000,2998648
Italy,2005,2751018
Italy,2010,2666862
Italy,2015,2756727
Italy,2020,2886481
Italy,2024,2941444
Jamaica,1990,611422
Jamaica,1995,811937
Jamaica,2000,833377
Jamaica,2005,895828
Jamaica,2010,1005109
Jamaica,2015,1084528
Jamaica,2020,1175941
Jamaica,2024,1248512
Japan,1990,710783
Japan,1995,911486
Japan,2000,846780
Japan,2005,864518
Japan,2010,909212
Japan,2015,943736
Japan,2020,926826
Japan,2024,1008173
Jordan,1990,265920
Jordan,1995,292015
Jordan,2000,324675
Jordan,2005,384315
Jordan,2010,486197
Jordan,2015,582220
Jordan,2020,609679
Jordan,2024,659204
Kazakhstan,1990,3178221
Kazakhstan,1995,3270367
Kazakhstan,2000,3407178
Kazakhstan,2005,3648310
Kazakhstan,2010,3753542
Kazakhstan,2015,3348874
Kazakhstan,2020,3029566
Kazakhstan,2024,2796572
Kenya,1990,238008
Kenya,1995,249228
Kenya,2000,296430
Kenya,2005,346666
Kenya,2010,390142
Kenya,2015,452369
Kenya,2020,483045
Kenya,2024,540466
Kiribati,1990,3919
Kiribati,1995,3882
Kiribati,2000,3819
Kiribati,2005,3783
Kiribati,2010,3344
Kiribati,2015,4086
Kiribati,2020,5053
Kiribati,2024,6306
Kuwait,1990,64245
Kuwait,1995,70228
Kuwait,2000,79931
Kuwait,2005,87761
Kuwait,2010,117370
Kuwait,2015,134398
Kuwait,2020,149927
Kuwait,2024,167850
Kyrgyzstan,1990,606963
Kyrgyzstan,1995,600786
Kyrgyzstan,2000,590619
Kyrgyzstan,2005,663215
Kyrgyzstan,2010,713989
Kyrgyzstan,2015,641517
Kyrgyzstan,2020,584710
Kyrgyzstan,2024,540573
Land-locked Developing Countries (LLDC),1990,24230881
Land-locked Developing Countries (LLDC),1995,22746786
Land-locked Developing Countries (LLDC),2000,22106881
Land-locked Developing Countries (LLDC),2005,23055686
Land-locked Developing Countries (LLDC),2010,26019291
Land-locked Developing Countries (LLDC),2015,28412805
Land-locked Developing Countries (LLDC),2020,31499061
Land-locked Developing Countries (LLDC),2024,35204570
Laos,1990,311756
Laos,1995,359736
Laos,2000,363370
Laos,2005,471052
Laos,2010,563709
Laos,2015,598860
Laos,2020,609093
Laos,2024,660258
Latin America and the Caribbean (UN),1990,14438417
Latin America and the Caribbean (UN),1995,18875340
Latin America and the Caribbean (UN),2000,23244130
Latin America and the Caribbean (UN),2005,28524869
Latin America and the Caribbean (UN),2010,32980368
Latin America and the Caribbean (UN),2015,34988655
Latin America and the Caribbean (UN),2020,42128506
Latin America and the Caribbean (UN),2024,48269815
Latvia,1990,181952
Latvia,1995,186182
Latvia,2000,184708
Latvia,2005,183414
Latvia,2010,183282
Latvia,2015,175523
Latvia,2020,166868
Latvia,2024,161014
Lebanon,1990,408352
Lebanon,1995,415740
Lebanon,2000,467495
Lebanon,2005,493327
Lebanon,2010,550096
Lebanon,2015,594974
Lebanon,2020,631071
Lebanon,2024,681720
Lesotho,1990,130251
Lesotho,1995,122192
Lesotho,2000,121214
Lesotho,2005,138931
Lesotho,2010,161987
Lesotho,2015,191588
Lesotho,2020,224803
Lesotho,2024,246938
Liberia,1990,539145
Liberia,1995,562699
Liberia,2000,270603
Liberia,2005,349718
Liberia,2010,186132
Liberia,2015,150490
Liberia,2020,147341
Liberia,2024,145919
Libya,1990,78841
Libya,1995,81041
Libya,2000,80451
Libya,2005,81361
Libya,2010,99826
Libya,2015,119270
Libya,2020,145103
Libya,2024,156874
Liechtenstein,1990,22
Liechtenstein,1995,28
Liechtenstein,2000,52
Liechtenstein,2005,154
Liechtenstein,2010,264
Liechtenstein,2015,293
Liechtenstein,2020,314
Liechtenstein,2024,346
Lithuania,1990,343671
Lithuania,1995,313225
Lithuania,2000,287335
Lithuania,2005,278878
Lithuania,2010,354264
Lithuania,2015,409441
Lithuania,2020,437638
Lithuania,2024,459268
Low-income countries,1990,18260226
Low-income countries,1995,15940023
Low-income countries,2000,15073902
Low-income countries,2005,15356761
Low-income countries,2010,18849423
Low-income countries,2015,28710928
Low-income countries,2020,35117582
Low-income countries,2024,41112765
Lower-middle-income countries,1990,34560587
Lower-middle-income countries,1995,37728471
Lower-middle-income countries,2000,42407274
Lower-middle-income countries,2005,50003751
Lower-middle-income countries,2010,61202233
Lower-middle-income countries,2015,73433798
Lower-middle-income countries,2020,80855889
Lower-middle-income countries,2024,89022690
Luxembourg,1990,27725
Luxembourg,1995,29087
Luxembourg,2000,30943
Luxembourg,2005,33941
Luxembourg,2010,36675
Luxembourg,2015,41099
Luxembourg,2020,43235
Luxembourg,2024,61859
Macao,1990,73961
